S_No,order_id,user,productId,productName,brand,zone,state,city,store,machine,isVeg,MinWeight,Weight,MaxWeight,weightCheckRequired,weightSimulated,MinTemp,Temp,MaxTemp,tempCheckRequired,tempSimulated,foodImage,foodImageSimulated,faceImage,faceImageSimulated,date,date_no,month_no,week_day,week_no,year,orderRecievedAt,timeTaken,passed,failed,interval
0,10011000,5,68452,'Subz-E-Falafel Biryani (Regular)',9,1,1,1,1,3,0,100,490,870,1,0,34,56,80,1,0,https://rebel-sqc-data.s3-ap-south-1.amazonaws.com/liveqcdata/11/11_01/Subz-E-Falafel_Biryani_(Regular)_01:27:03.png,0,,0,2021-02-26,26,2,4,8,2021,2021-02-26 01:27:03.262723,10,1,0,5
0,10011000,5,68456,'Subz-E-Falafel Biryani (Regular)',4,4,4,4,4,1,1,130,410,730,1,0,38,74,80,1,0,https://rebel-sqc-data.s3-ap-south-1.amazonaws.com/liveqcdata/11/11_01/Subz-E-Falafel_Biryani_(Regular)_01:29:03.png,0,,0,2021-02-26,26,2,4,8,2021,2021-02-26 01:29:03.262723,10,1,0,5
0,10011000,10,68457,'Subz-E-Falafel Biryani (Regular)',4,1,1,1,1,3,0,215,275,570,1,0,30,16,86,1,0,https://rebel-sqc-data.s3-ap-south-1.amazonaws.com/liveqcdata/11/11_01/Subz-E-Falafel_Biryani_(Regular)_01:30:03.png,0,,0,2021-02-26,26,2,4,8,2021,2021-02-26 01:30:03.262723,10,0,1,6
0,10011000,9,68455,'Subz-E-Falafel Biryani (Regular)',11,2,6,6,6,1,0,70,545,570,1,0,22,30,84,1,0,https://rebel-sqc-data.s3-ap-south-1.amazonaws.com/liveqcdata/11/11_01/Subz-E-Falafel_Biryani_(Regular)_01:41:03.png,0,,0,2021-02-26,26,2,4,8,2021,2021-02-26 01:41:03.262723,10,1,0,6
0,10011000,9,68453,'Subz-E-Falafel Biryani (Regular)',4,2,2,2,2,2,0,175,465,595,1,0,36,14,68,1,0,https://rebel-sqc-data.s3-ap-south-1.amazonaws.com/liveqcdata/11/11_01/Subz-E-Falafel_Biryani_(Regular)_01:41:03.png,0,,0,2021-02-26,26,2,4,8,2021,2021-02-26 01:41:03.262723,10,0,1,6
0,10011000,3,68455,'Subz-E-Falafel Biryani (Regular)',10,2,2,2,2,2,1,90,560,805,1,0,22,40,84,1,0,https://rebel-sqc-data.s3-ap-south-1.amazonaws.com/liveqcdata/11/11_01/Subz-E-Falafel_Biryani_(Regular)_01:43:03.png,0,,0,2021-02-26,26,2,4,8,2021,2021-02-26 01:43:03.262723,10,1,0,6
0,10011000,7,68451,'Subz-E-Falafel Biryani (Regular)',2,2,2,2,2,4,0,145,45,870,1,0,22,76,80,1,0,https://rebel-sqc-data.s3-ap-south-1.amazonaws.com/liveqcdata/11/11_01/Subz-E-Falafel_Biryani_(Regular)_01:43:03.png,0,,0,2021-02-26,26,2,4,8,2021,2021-02-26 01:43:03.262723,10,0,1,6
0,10011000,5,68452,'Subz-E-Falafel Biryani (Regular)',10,2,2,2,2,2,1,195,745,595,1,0,20,10,80,1,0,https://rebel-sqc-data.s3-ap-south-1.amazonaws.com/liveqcdata/11/11_01/Subz-E-Falafel_Biryani_(Regular)_01:49:03.png,0,,0,2021-02-26,26,2,4,8,2021,2021-02-26 01:49:03.262723,10,0,1,7
0,10011000,3,68455,'Subz-E-Falafel Biryani (Regular)',3,2,6,6,6,2,0,175,510,390,1,0,36,14,80,1,0,https://rebel-sqc-data.s3-ap-south-1.amazonaws.com/liveqcdata/11/11_01/Subz-E-Falafel_Biryani_(Regular)_01:59:03.png,0,,0,2021-02-26,26,2,4,8,2021,2021-02-26 01:59:03.262723,10,0,1,7
0,10011000,9,68457,'Subz-E-Falafel Biryani (Regular)',2,4,8,8,8,4,1,175,470,400,1,0,24,46,86,1,0,https://rebel-sqc-data.s3-ap-south-1.amazonaws.com/liveqcdata/11/11_01/Subz-E-Falafel_Biryani_(Regular)_02:00:03.png,0,,0,2021-02-26,26,2,4,8,2021,2021-02-26 02:00:03.262723,10,0,1,8
0,10011000,2,68451,'Subz-E-Falafel Biryani (Regular)',8,4,8,8,8,2,0,230,800,355,1,0,34,54,66,1,0,https://rebel-sqc-data.s3-ap-south-1.amazonaws.com/liveqcdata/11/11_01/Subz-E-Falafel_Biryani_(Regular)_02:12:03.png,0,,0,2021-02-26,26,2,4,8,2021,2021-02-26 02:12:03.262723,10,0,1,8
0,10011000,10,68457,'Subz-E-Falafel Biryani (Regular)',11,2,6,6,6,3,0,110,365,360,1,0,34,66,58,1,0,https://rebel-sqc-data.s3-ap-south-1.amazonaws.com/liveqcdata/11/11_01/Subz-E-Falafel_Biryani_(Regular)_02:25:03.png,0,,0,2021-02-26,26,2,4,8,2021,2021-02-26 02:25:03.262723,10,0,1,9
0,10011000,1,68459,'Subz-E-Falafel Biryani (Regular)',7,3,7,7,7,1,1,230,985,620,1,0,26,50,58,1,0,https://rebel-sqc-data.s3-ap-south-1.amazonaws.com/liveqcdata/11/11_01/Subz-E-Falafel_Biryani_(Regular)_02:35:03.png,0,,0,2021-02-26,26,2,4,8,2021,2021-02-26 02:35:03.262723,10,0,1,10
0,10011000,6,68454,'Subz-E-Falafel Biryani (Regular)',3,2,6,6,6,2,1,245,570,800,1,0,34,96,62,1,0,https://rebel-sqc-data.s3-ap-south-1.amazonaws.com/liveqcdata/11/11_01/Subz-E-Falafel_Biryani_(Regular)_02:48:03.png,0,,0,2021-02-26,26,2,4,8,2021,2021-02-26 02:48:03.262723,10,0,1,11
0,10011000,9,68459,'Subz-E-Falafel Biryani (Regular)',7,2,6,6,6,4,1,80,705,305,1,0,34,72,82,1,0,https://rebel-sqc-data.s3-ap-south-1.amazonaws.com/liveqcdata/11/11_01/Subz-E-Falafel_Biryani_(Regular)_02:51:03.png,0,,0,2021-02-26,26,2,4,8,2021,2021-02-26 02:51:03.262723,10,0,1,11
0,10011000,2,68452,'Subz-E-Falafel Biryani (Regular)',1,2,2,2,2,4,0,230,205,505,1,0,32,84,74,1,0,https://rebel-sqc-data.s3-ap-south-1.amazonaws.com/liveqcdata/11/11_01/Subz-E-Falafel_Biryani_(Regular)_02:51:03.png,0,,0,2021-02-26,26,2,4,8,2021,2021-02-26 02:51:03.262723,10,0,1,11
0,10011000,4,68458,'Subz-E-Falafel Biryani (Regular)',1,4,4,4,4,4,1,90,935,755,1,0,22,10,80,1,0,https://rebel-sqc-data.s3-ap-south-1.amazonaws.com/liveqcdata/11/11_01/Subz-E-Falafel_Biryani_(Regular)_02:59:03.png,0,,0,2021-02-26,26,2,4,8,2021,2021-02-26 02:59:03.262723,10,0,1,11
0,10011000,6,68457,'Subz-E-Falafel Biryani (Regular)',9,1,1,1,1,4,0,120,390,405,1,0,24,68,50,1,0,https://rebel-sqc-data.s3-ap-south-1.amazonaws.com/liveqcdata/11/11_01/Subz-E-Falafel_Biryani_(Regular)_02:59:03.png,0,,0,2021-02-26,26,2,4,8,2021,2021-02-26 02:59:03.262723,10,0,1,11
0,10011000,7,68455,'Subz-E-Falafel Biryani (Regular)',5,4,8,8,8,3,0,210,135,650,1,0,28,58,74,1,0,https://rebel-sqc-data.s3-ap-south-1.amazonaws.com/liveqcdata/11/11_01/Subz-E-Falafel_Biryani_(Regular)_03:00:03.png,0,,0,2021-02-26,26,2,4,8,2021,2021-02-26 03:00:03.262723,10,0,1,12
