S_No,order_id,user,productId,productName,brand,zone,state,city,store,machine,isVeg,MinWeight,Weight,MaxWeight,weightCheckRequired,weightSimulated,MinTemp,Temp,MaxTemp,tempCheckRequired,tempSimulated,foodImage,foodImageSimulated,faceImage,faceImageSimulated,date,date_no,month_no,week_day,week_no,year,orderRecievedAt,timeTaken,passed,failed,interval
1,10011001,8,68456,'Subz-E-Falafel Biryani (Regular)',12,4,4,4,4,3,0,240,740,405,1,0,28,62,70,1,0,https://rebel-sqc-data.s3-ap-south-1.amazonaws.com/liveqcdata/11/11_01/Subz-E-Falafel_Biryani_(Regular)_22:19:49.png,0,,0,2021-01-30,30,1,5,4,2021,2021-01-30 22:19:49.350801,10,0,1,89
2,10011002,4,68459,'Subz-E-Falafel Biryani (Regular)',3,4,4,4,4,1,1,225,800,430,1,0,20,90,66,1,0,https://rebel-sqc-data.s3-ap-south-1.amazonaws.com/liveqcdata/11/11_01/Subz-E-Falafel_Biryani_(Regular)_22:21:49.png,0,,0,2021-01-30,30,1,5,4,2021,2021-01-30 22:21:49.350801,10,0,1,89
3,10011003,1,68453,'Subz-E-Falafel Biryani (Regular)',1,1,1,1,1,1,0,80,645,330,1,0,30,40,86,1,0,https://rebel-sqc-data.s3-ap-south-1.amazonaws.com/liveqcdata/11/11_01/Subz-E-Falafel_Biryani_(Regular)_22:27:49.png,0,,0,2021-01-30,30,1,5,4,2021,2021-01-30 22:27:49.350801,10,0,1,89
4,10011004,3,68459,'Subz-E-Falafel Biryani (Regular)',4,1,1,1,1,4,1,120,840,615,1,0,26,48,62,1,0,https://rebel-sqc-data.s3-ap-south-1.amazonaws.com/liveqcdata/11/11_01/Subz-E-Falafel_Biryani_(Regular)_22:35:49.png,0,,0,2021-01-30,30,1,5,4,2021,2021-01-30 22:35:49.350801,10,0,1,90
5,10011005,8,68453,'Subz-E-Falafel Biryani (Regular)',12,3,3,3,3,3,1,60,395,545,1,0,22,28,70,1,0,https://rebel-sqc-data.s3-ap-south-1.amazonaws.com/liveqcdata/11/11_01/Subz-E-Falafel_Biryani_(Regular)_22:40:49.png,0,,0,2021-01-30,30,1,5,4,2021,2021-01-30 22:40:49.350801,10,1,0,90
6,10011006,10,68452,'Subz-E-Falafel Biryani (Regular)',1,3,3,3,3,2,1,145,65,540,1,0,34,76,88,1,0,https://rebel-sqc-data.s3-ap-south-1.amazonaws.com/liveqcdata/11/11_01/Subz-E-Falafel_Biryani_(Regular)_22:42:49.png,0,,0,2021-01-30,30,1,5,4,2021,2021-01-30 22:42:49.350801,10,0,1,90
7,10011007,9,68454,'Subz-E-Falafel Biryani (Regular)',6,2,2,2,2,1,0,75,565,415,1,0,30,22,50,1,0,https://rebel-sqc-data.s3-ap-south-1.amazonaws.com/liveqcdata/11/11_01/Subz-E-Falafel_Biryani_(Regular)_22:54:49.png,0,,0,2021-01-30,30,1,5,4,2021,2021-01-30 22:54:49.350801,10,0,1,91
8,10011008,10,68459,'Subz-E-Falafel Biryani (Regular)',12,2,2,2,2,1,0,165,60,505,1,0,36,42,64,1,0,https://rebel-sqc-data.s3-ap-south-1.amazonaws.com/liveqcdata/11/11_01/Subz-E-Falafel_Biryani_(Regular)_22:56:49.png,0,,0,2021-01-30,30,1,5,4,2021,2021-01-30 22:56:49.350801,10,0,1,91
9,10011009,9,68452,'Subz-E-Falafel Biryani (Regular)',7,4,4,4,4,2,0,125,705,585,1,0,26,28,62,1,0,https://rebel-sqc-data.s3-ap-south-1.amazonaws.com/liveqcdata/11/11_01/Subz-E-Falafel_Biryani_(Regular)_23:07:49.png,0,,0,2021-01-30,30,1,5,4,2021,2021-01-30 23:07:49.350801,10,0,1,92
10,10011010,5,68459,'Subz-E-Falafel Biryani (Regular)',3,4,4,4,4,3,0,215,35,635,1,0,20,42,50,1,0,https://rebel-sqc-data.s3-ap-south-1.amazonaws.com/liveqcdata/11/11_01/Subz-E-Falafel_Biryani_(Regular)_23:16:49.png,0,,0,2021-01-30,30,1,5,4,2021,2021-01-30 23:16:49.350801,10,0,1,93
